DATE,FLRGSP
2010-01-01,775039.5
2011-01-01,772021.3
2012-01-01,778545.0
2013-01-01,794842.1
2014-01-01,817233.5
2015-01-01,852242.4
2016-01-01,881539.2
2017-01-01,912966.2
2018-01-01,943463.4
2019-01-01,971619.2
2020-01-01,944000.8
