DATE,MERGSP
2010-01-01,54305.0
2011-01-01,53789.0
2012-01-01,53679.7
2013-01-01,53239.1
2014-01-01,54037.9
2015-01-01,54425.8
2016-01-01,55565.4
2017-01-01,56662.6
2018-01-01,58178.8
2019-01-01,59433.9
2020-01-01,58757.3
