DATE,ARRGSP
2010-01-01,105662.0
2011-01-01,107932.5
2012-01-01,108492.1
2013-01-01,110752.4
2014-01-01,111734.5
2015-01-01,112351.0
2016-01-01,112798.1
2017-01-01,113885.2
2018-01-01,115937.6
2019-01-01,116790.9
2020-01-01,114943.5
