DATE,MSRGSP
2010-01-01,98601.1
2011-01-01,98515.8
2012-01-01,100448.4
2013-01-01,100331.2
2014-01-01,100283.6
2015-01-01,100482.4
2016-01-01,101255.3
2017-01-01,101642.1
2018-01-01,101131.5
2019-01-01,101525.1
2020-01-01,99667.5
