DATE,ALRGSP
2010-01-01,184702.4
2011-01-01,187605.8
2012-01-01,189245.5
2013-01-01,191369.8
2014-01-01,189886.3
2015-01-01,191335.2
2016-01-01,194283.8
2017-01-01,197566.6
2018-01-01,200800.9
2019-01-01,203383.9
2020-01-01,196906.1
