DATE,AZRGSP
2010-01-01,260307.1
2011-01-01,266101.5
2012-01-01,271440.0
2013-01-01,273481.9
2014-01-01,276948.9
2015-01-01,282577.0
2016-01-01,291275.2
2017-01-01,302455.4
2018-01-01,313618.7
2019-01-01,323894.3
2020-01-01,320550.6
