DATE,VARGSP
2010-01-01,441242.4
2011-01-01,444288.0
2012-01-01,445973.6
2013-01-01,449063.8
2014-01-01,447678.1
2015-01-01,455162.4
2016-01-01,459965.8
2017-01-01,466724.8
2018-01-01,477819.8
2019-01-01,487251.6
2020-01-01,473817.5
