DATE,NJRGSP
2010-01-01,513917.9
2011-01-01,507604.0
2012-01-01,517195.9
2013-01-01,523725.8
2014-01-01,522166.4
2015-01-01,529953.7
2016-01-01,535055.3
2017-01-01,537045.1
2018-01-01,550064.5
2019-01-01,561842.8
2020-01-01,535794.9
