DATE,CARGSP
2010-01-01,2036015.0
2011-01-01,2063827.5
2012-01-01,2113096.4
2013-01-01,2179229.0
2014-01-01,2256054.7
2015-01-01,2357452.9
2016-01-01,2427894.6
2017-01-01,2541769.3
2018-01-01,2643576.3
2019-01-01,2739343.4
2020-01-01,2663665.9
