DATE,GARGSP
2010-01-01,433727.2
2011-01-01,441626.7
2012-01-01,447764.7
2013-01-01,454908.9
2014-01-01,470009.7
2015-01-01,489182.3
2016-01-01,506816.2
2017-01-01,524874.7
2018-01-01,539300.3
2019-01-01,558277.3
2020-01-01,536693.0
