DATE,HIRGSP
2010-01-01,69628.1
2011-01-01,70646.6
2012-01-01,71905.3
2013-01-01,73063.2
2014-01-01,73512.4
2015-01-01,75869.5
2016-01-01,77303.9
2017-01-01,78941.6
2018-01-01,79854.7
2019-01-01,79175.4
2020-01-01,70625.2
