DATE,PARGSP
2010-01-01,627726.3
2011-01-01,637114.0
2012-01-01,647925.9
2013-01-01,655929.2
2014-01-01,669643.1
2015-01-01,682466.1
2016-01-01,688359.4
2017-01-01,694236.5
2018-01-01,703946.0
2019-01-01,716173.4
2020-01-01,683773.9
