DATE,NYRGSP
2010-01-01,1277466.8
2011-01-01,1279527.1
2012-01-01,1328233.5
2013-01-01,1329376.3
2014-01-01,1353410.4
2015-01-01,1373643.0
2016-01-01,1403230.5
2017-01-01,1419583.6
2018-01-01,1457995.8
2019-01-01,1494736.4
2020-01-01,1420141.0
