DATE,OHRGSP
2010-01-01,523979.4
2011-01-01,541180.2
2012-01-01,545740.1
2013-01-01,556210.5
2014-01-01,574177.9
2015-01-01,578852.4
2016-01-01,583946.4
2017-01-01,590738.9
2018-01-01,598917.1
2019-01-01,611145.8
2020-01-01,589897.7
