DATE,OKRGSP
2010-01-01,160564.2
2011-01-01,166327.2
2012-01-01,174874.4
2013-01-01,177698.9
2014-01-01,189360.0
2015-01-01,197071.9
2016-01-01,193025.1
2017-01-01,194256.0
2018-01-01,197358.3
2019-01-01,200710.9
2020-01-01,190893.8
