DATE,WIRGSP
2010-01-01,266830.8
2011-01-01,272813.2
2012-01-01,277107.1
2013-01-01,278015.0
2014-01-01,283981.1
2015-01-01,289077.0
2016-01-01,291920.3
2017-01-01,292311.2
2018-01-01,299416.0
2019-01-01,303891.2
2020-01-01,291715.8
