DATE,DERGSP
2010-01-01,60577.2
2011-01-01,62919.3
2012-01-01,62354.6
2013-01-01,60235.8
2014-01-01,64940.1
2015-01-01,66793.5
2016-01-01,63001.3
2017-01-01,60801.2
2018-01-01,61735.1
2019-01-01,64262.4
2020-01-01,62056.2
