DATE,KSPCPI
2010-01-01,39968.0
2011-01-01,43057.0
2012-01-01,45373.0
2013-01-01,46291.0
2014-01-01,47169.0
2015-01-01,47527.0
2016-01-01,47557.0
2017-01-01,49033.0
2018-01-01,51139.0
2019-01-01,53203.0
2020-01-01,56099.0
