DATE,IAPCPI
2010-01-01,38320.0
2011-01-01,41078.0
2012-01-01,42953.0
2013-01-01,43555.0
2014-01-01,44856.0
2015-01-01,46304.0
2016-01-01,46531.0
2017-01-01,47570.0
2018-01-01,49548.0
2019-01-01,50533.0
2020-01-01,53478.0
