DATE,ORPCPI
2010-01-01,36036.0
2011-01-01,37596.0
2012-01-01,39370.0
2013-01-01,39787.0
2014-01-01,42133.0
2015-01-01,44693.0
2016-01-01,45998.0
2017-01-01,47982.0
2018-01-01,50535.0
2019-01-01,52462.0
2020-01-01,56312.0
