DATE,TXPCPI
2010-01-01,39029.0
2011-01-01,42011.0
2012-01-01,44193.0
2013-01-01,44745.0
2014-01-01,47273.0
2015-01-01,47345.0
2016-01-01,46445.0
2017-01-01,49055.0
2018-01-01,51813.0
2019-01-01,53266.0
2020-01-01,55129.0
