DATE,AKPCPI
2010-01-01,49654.0
2011-01-01,52581.0
2012-01-01,53729.0
2013-01-01,52843.0
2014-01-01,55910.0
2015-01-01,57629.0
2016-01-01,56341.0
2017-01-01,57352.0
2018-01-01,59871.0
2019-01-01,61742.0
2020-01-01,63502.0
