DATE,GAPCPI
2010-01-01,34830.0
2011-01-01,36849.0
2012-01-01,37507.0
2013-01-01,37813.0
2014-01-01,39994.0
2015-01-01,41974.0
2016-01-01,43074.0
2017-01-01,45045.0
2018-01-01,46882.0
2019-01-01,48765.0
2020-01-01,51780.0
