DATE,INPCPI
2010-01-01,35699.0
2011-01-01,37822.0
2012-01-01,39477.0
2013-01-01,39829.0
2014-01-01,41274.0
2015-01-01,42778.0
2016-01-01,43780.0
2017-01-01,45278.0
2018-01-01,47292.0
2019-01-01,48980.0
2020-01-01,51926.0
