DATE,NEPCPI
2010-01-01,41260.0
2011-01-01,45744.0
2012-01-01,46801.0
2013-01-01,46842.0
2014-01-01,49216.0
2015-01-01,50887.0
2016-01-01,49745.0
2017-01-01,50658.0
2018-01-01,52560.0
2019-01-01,54037.0
2020-01-01,57570.0
