DATE,NCPCPI
2010-01-01,35860.0
2011-01-01,36839.0
2012-01-01,38984.0
2013-01-01,38225.0
2014-01-01,40061.0
2015-01-01,41778.0
2016-01-01,42574.0
2017-01-01,44094.0
2018-01-01,45758.0
2019-01-01,47660.0
2020-01-01,50305.0
