DATE,MEPCPI
2010-01-01,38115.0
2011-01-01,39737.0
2012-01-01,40496.0
2013-01-01,40452.0
2014-01-01,41964.0
2015-01-01,43888.0
2016-01-01,45003.0
2017-01-01,46737.0
2018-01-01,48594.0
2019-01-01,50421.0
2020-01-01,54211.0
