DATE,MIPCPI
2010-01-01,35769.0
2011-01-01,37829.0
2012-01-01,39355.0
2013-01-01,39696.0
2014-01-01,41383.0
2015-01-01,43655.0
2016-01-01,44809.0
2017-01-01,45983.0
2018-01-01,47708.0
2019-01-01,49277.0
2020-01-01,53259.0
