DATE,MNPCPI
2010-01-01,42734.0
2011-01-01,45373.0
2012-01-01,47822.0
2013-01-01,47977.0
2014-01-01,50157.0
2015-01-01,52229.0
2016-01-01,52890.0
2017-01-01,54670.0
2018-01-01,56986.0
2019-01-01,58426.0
2020-01-01,62005.0
