DATE,NVPCPI
2010-01-01,37487.0
2011-01-01,38740.0
2012-01-01,39840.0
2013-01-01,39565.0
2014-01-01,41637.0
2015-01-01,44314.0
2016-01-01,45232.0
2017-01-01,47279.0
2018-01-01,49424.0
2019-01-01,51419.0
2020-01-01,53720.0
