DATE,PAPCPI
2010-01-01,42268.0
2011-01-01,44300.0
2012-01-01,46022.0
2013-01-01,46456.0
2014-01-01,48394.0
2015-01-01,50352.0
2016-01-01,51700.0
2017-01-01,53117.0
2018-01-01,55924.0
2019-01-01,57596.0
2020-01-01,61700.0
