DATE,NHPCPI
2010-01-01,47108.0
2011-01-01,49184.0
2012-01-01,51224.0
2013-01-01,51010.0
2014-01-01,52839.0
2015-01-01,54935.0
2016-01-01,56629.0
2017-01-01,58791.0
2018-01-01,61371.0
2019-01-01,63785.0
2020-01-01,67097.0
