DATE,RIPCPI
2010-01-01,42805.0
2011-01-01,44403.0
2012-01-01,45978.0
2013-01-01,45990.0
2014-01-01,47937.0
2015-01-01,49625.0
2016-01-01,50320.0
2017-01-01,52341.0
2018-01-01,54158.0
2019-01-01,56616.0
2020-01-01,60825.0
