DATE,ARPCPI
2010-01-01,32367.0
2011-01-01,34253.0
2012-01-01,36533.0
2013-01-01,36605.0
2014-01-01,38650.0
2015-01-01,39842.0
2016-01-01,40720.0
2017-01-01,41873.0
2018-01-01,43446.0
2019-01-01,44788.0
2020-01-01,47235.0
