DATE,DEPCPI
2010-01-01,40947.0
2011-01-01,43990.0
2012-01-01,44121.0
2013-01-01,44478.0
2014-01-01,46115.0
2015-01-01,47997.0
2016-01-01,48890.0
2017-01-01,50703.0
2018-01-01,53062.0
2019-01-01,53793.0
2020-01-01,56097.0
