DATE,IDPCPI
2010-01-01,32106.0
2011-01-01,33627.0
2012-01-01,35201.0
2013-01-01,36229.0
2014-01-01,37863.0
2015-01-01,39622.0
2016-01-01,40385.0
2017-01-01,41905.0
2018-01-01,43766.0
2019-01-01,45741.0
2020-01-01,48759.0
