DATE,ALPCPI
2010-01-01,33963.0
2011-01-01,35101.0
2012-01-01,35992.0
2013-01-01,36258.0
2014-01-01,37384.0
2015-01-01,38954.0
2016-01-01,39525.0
2017-01-01,40864.0
2018-01-01,42328.0
2019-01-01,43996.0
2020-01-01,46479.0
