DATE,OKPCPI
2010-01-01,37271.0
2011-01-01,39777.0
2012-01-01,42188.0
2013-01-01,43951.0
2014-01-01,46522.0
2015-01-01,44785.0
2016-01-01,42399.0
2017-01-01,44295.0
2018-01-01,46298.0
2019-01-01,48317.0
2020-01-01,49878.0
