DATE,MTPCPI
2010-01-01,36398.0
2011-01-01,38584.0
2012-01-01,40750.0
2013-01-01,40746.0
2014-01-01,42591.0
2015-01-01,44066.0
2016-01-01,44211.0
2017-01-01,46282.0
2018-01-01,48021.0
2019-01-01,50099.0
2020-01-01,53361.0
