DATE,COPCPI
2010-01-01,40785.0
2011-01-01,43635.0
2012-01-01,45586.0
2013-01-01,47339.0
2014-01-01,50706.0
2015-01-01,52222.0
2016-01-01,52251.0
2017-01-01,55125.0
2018-01-01,58267.0
2019-01-01,60848.0
2020-01-01,63776.0
