DATE,AZPCPI
2010-01-01,33848.0
2011-01-01,35175.0
2012-01-01,36272.0
2013-01-01,36739.0
2014-01-01,38211.0
2015-01-01,39635.0
2016-01-01,40618.0
2017-01-01,42267.0
2018-01-01,44071.0
2019-01-01,45808.0
2020-01-01,49648.0
