DATE,MAPCPI
2010-01-01,52919.0
2011-01-01,54942.0
2012-01-01,56911.0
2013-01-01,56977.0
2014-01-01,59400.0
2015-01-01,62998.0
2016-01-01,65060.0
2017-01-01,67545.0
2018-01-01,70610.0
2019-01-01,73477.0
2020-01-01,78458.0
