DATE,CAPCPI
2010-01-01,43249.0
2011-01-01,45574.0
2012-01-01,48154.0
2013-01-01,48549.0
2014-01-01,51332.0
2015-01-01,54632.0
2016-01-01,56667.0
2017-01-01,58942.0
2018-01-01,61663.0
2019-01-01,64513.0
2020-01-01,70192.0
